SUN-OFDM 863-870MHz O4 MCS5,0.838,-107.72
SUN-OFDM 863-870MHz O4 MCS4,0.963,-109.35
SUN-OFDM 863-870MHz O4 MCS5,0.625,-109.01
SUN-OFDM 863-870MHz O4 MCS4,0.975,-109.83
SUN-OFDM 863-870MHz O4 MCS5,0.388,-109.42
SUN-OFDM 863-870MHz O4 MCS2,1.000,-110.76
SUN-OFDM 863-870MHz O4 MCS3,0.994,-111.03
SUN-OFDM 863-870MHz O4 MCS4,0.863,-110.84
SUN-OFDM 863-870MHz O4 MCS5,0.025,-110.75
SUN-OFDM 863-870MHz O4 MCS2,0.969,-111.67
SUN-OFDM 863-870MHz O4 MCS3,0.969,-111.86
SUN-OFDM 863-870MHz O4 MCS4,0.637,-111.86
SUN-OFDM 863-870MHz O4 MCS5,0.000,0.00
SUN-OFDM 863-870MHz O4 MCS2,0.969,-112.85
SUN-OFDM 863-870MHz O4 MCS3,0.850,-113.10
SUN-OFDM 863-870MHz O4 MCS4,0.206,-112.76
SUN-OFDM 863-870MHz O4 MCS5,0.000,0.00
SUN-OFDM 863-870MHz O4 MCS2,0.912,-113.71
SUN-OFDM 863-870MHz O4 MCS3,0.681,-113.93
SUN-OFDM 863-870MHz O4 MCS4,0.006,-115.00
SUN-OFDM 863-870MHz O4 MCS5,0.000,0.00
SUN-OFDM 863-870MHz O4 MCS2,0.762,-114.48
SUN-OFDM 863-870MHz O4 MCS3,0.250,-114.75
SUN-OFDM 863-870MHz O4 MCS4,0.000,0.00
SUN-OFDM 863-870MHz O4 MCS5,0.000,0.00
SUN-OFDM 863-870MHz O4 MCS2,0.494,-115.53
SUN-OFDM 863-870MHz O4 MCS3,0.050,-115.12
SUN-OFDM 863-870MHz O4 MCS4,0.000,0.00
SUN-OFDM 863-870MHz O4 MCS5,0.000,0.00
